Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787423401,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423402,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423403,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423404,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423405,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423406,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423407,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423408,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423409,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423410,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423411,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423412,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423413,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423414,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423415,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423416,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423417,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423418,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423419,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423420,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423421,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423422,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423423,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423424,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423425,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423426,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423427,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423428,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423429,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423430,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423431,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787423432,5,,Aggregated,0.000000,0.000000,80,94,100,100,260,260,260,260,260,260,260,7,0,80,89.98061428636512,4.630600000382401,263.77230000070995,107.28571428571429
1787423433,10,,Aggregated,0.000000,0.000000,26,35,80,94,200,260,260,260,260,260,260,18,0,23,53.87439444368485,3.562899997632485,263.77230000070995,107.55555555555556
1787423434,10,,Aggregated,0.500000,0.000000,7,26,78,80,190,200,260,260,260,260,260,26,0,6,45.82070769202591,3.0566000059479848,263.77230000070995,108.61538461538461
1787423435,10,,Aggregated,1.400000,0.000000,5,9,26,78,100,200,260,260,260,260,260,34,0,5,35.98257941185319,3.013100002135616,263.77230000070995,107.05882352941177
1787423436,10,,Aggregated,2.000000,0.000000,4,7,26,78,170,190,260,260,260,260,260,45,0,4,36.57567111157631,2.7589000019361265,263.77230000070995,107.62222222222222
1787423437,10,,Aggregated,2.800000,0.000000,4,7,26,46,100,190,200,260,260,260,260,54,0,4,32.10507777812718,2.7589000019361265,263.77230000070995,106.29629629629629
1787423438,10,,Aggregated,3.800000,0.000000,4,6,23,35,100,190,200,260,260,260,260,58,0,4,30.130236207383106,2.7589000019361265,263.77230000070995,106.0
1787423439,10,,Aggregated,4.500000,0.000000,4,5,9,26,94,180,200,260,260,260,260,68,0,4,26.2646529414162,2.7589000019361265,263.77230000070995,105.41176470588235
1787423440,10,,Aggregated,5.400000,0.000000,4,5,7,23,80,180,200,260,260,260,260,75,0,4,24.237268000239663,2.7589000019361265,263.77230000070995,105.09333333333333
1787423441,10,,Aggregated,6.500000,0.000000,4,5,6,10,78,170,200,260,260,260,260,83,0,4,22.869804819536686,2.7589000019361265,263.77230000070995,104.5421686746988
1787423442,18,,Aggregated,7.100000,0.000000,4,6,10,46,100,170,190,200,260,260,260,102,0,4,28.766098039555157,2.7589000019361265,263.77230000070995,104.63725490196079
1787423443,18,,Aggregated,7.900000,0.000000,4,6,7,26,94,170,190,200,260,260,260,117,0,4,25.918541880599104,2.594999998109415,263.77230000070995,104.11965811965813
1787423444,18,,Aggregated,8.800000,0.000000,4,6,7,26,94,170,190,200,260,260,260,127,0,4,25.710642519869886,2.594999998109415,263.77230000070995,104.51968503937007
1787423445,18,,Aggregated,9.000000,0.000000,4,5,7,23,80,170,200,230,260,260,260,144,0,4,25.001619444436884,2.594999998109415,263.77230000070995,104.51388888888889
1787423446,18,,Aggregated,10.100000,0.000000,4,5,6,10,78,170,190,230,260,260,260,158,0,4,23.357941139094486,2.594999998109415,263.77230000070995,104.15822784810126
1787423447,18,,Aggregated,10.200000,0.000000,4,5,6,8,65,170,200,230,260,260,260,172,0,4,22.93184767429836,2.594999998109415,263.77230000070995,104.40116279069767
1787423448,18,,Aggregated,10.800000,0.000000,4,5,6,9,65,170,210,230,260,260,260,186,0,4,22.767637096710317,2.594999998109415,263.77230000070995,104.55376344086021
1787423449,18,,Aggregated,11.500000,0.000000,4,5,6,9,80,190,230,240,260,260,260,199,0,4,25.013571859232968,2.594999998109415,263.77230000070995,105.2713567839196
1787423450,18,,Aggregated,12.200000,0.000000,4,5,6,9,78,190,220,230,260,260,260,216,0,4,24.591237036980196,2.594999998109415,263.77230000070995,105.08796296296296
1787423451,22,,Aggregated,12.200000,0.000000,4,5,6,9,78,190,230,240,260,260,260,229,0,4,24.534921833982754,2.594999998109415,263.77230000070995,105.22707423580786
1787423452,22,,Aggregated,13.200000,0.000000,4,5,7,10,80,190,230,240,260,260,260,247,0,4,25.85764008093798,2.594999998109415,263.77230000070995,105.62348178137651
1787423453,22,,Aggregated,13.800000,0.000000,4,5,7,13,100,200,230,240,260,260,260,270,0,4,27.259724814697012,2.440199998090975,263.77230000070995,106.17407407407407
1787423454,22,,Aggregated,14.300000,0.000000,4,5,7,13,140,210,230,240,260,260,260,287,0,4,28.86410766542412,2.440199998090975,263.77230000070995,106.79094076655052
1787423455,22,,Aggregated,14.700000,0.000000,4,5,7,11,140,210,230,240,260,260,260,305,0,4,28.823438688461884,2.440199998090975,263.77230000070995,106.91147540983607
1787423456,22,,Aggregated,15.100000,0.000000,4,5,8,22,140,210,230,240,260,260,260,324,0,4,29.557616049265718,2.440199998090975,263.77230000070995,107.05246913580247
1787423457,22,,Aggregated,15.800000,0.000000,4,5,8,22,140,210,230,240,260,260,260,339,0,4,29.504798229992907,2.440199998090975,263.77230000070995,107.16224188790561
1787423458,22,,Aggregated,16.000000,0.000000,4,5,7,22,140,210,230,240,260,260,260,358,0,4,29.03130558652214,2.440199998090975,263.77230000070995,106.94692737430168
1787423459,22,,Aggregated,16.600000,0.000000,4,5,7,10,140,210,230,240,260,260,260,372,0,4,28.06808521501064,2.440199998090975,263.77230000070995,106.76075268817205
1787423460,22,,Aggregated,16.400000,0.000000,4,5,7,10,140,210,230,240,260,260,260,391,0,4,28.93492685415579,2.440199998090975,263.77230000070995,107.19437340153452
